,X,Year,Location,Event,Athelete,Country,Medal,Time,TimeFormat,Altitude,minutes,seconds,totalseconds,MedalCode
445,445,1998,"Nagano, Japan",1000m Women,Christine Witty,USA,SILVER,01:16.8,01:16.8,300,60,16.79,76.79,2
448,448,1998,"Nagano, Japan",1500m Women,Gunda Niemann,GER,SILVER,01:58.7,01:58.7,300,60,58.66,118.66,2
451,451,1998,"Nagano, Japan",3000m Women,Claudia Pechstein,GER,SILVER,04:08.5,04:08.5,300,240,8.47,248.47,2
454,454,1998,"Nagano, Japan",5000m Women,Gunda Niemann,GER,SILVER,06:59.7,06:59.7,300,360,59.65,419.65,2
457,457,1998,"Nagano, Japan",500m Short Track Men,Yulong An,CHN,SILVER,43.022,00:43.0,300,0,43.022,43.022,2
460,460,1998,"Nagano, Japan",1000m Short Track Men,Jiajun Li,CHN,SILVER,01:32.4,01:32.4,300,60,32.428,92.428,2
466,466,1998,"Nagano, Japan",5000m Short Track Relay Men,Dong-Sung Kim,KOR,SILVER,07:06.8,07:06.8,300,420,6.776,426.776,2
467,467,1998,"Nagano, Japan",5000m Short Track Relay Men,Ji-Hoon Chae,KOR,SILVER,07:06.8,07:06.8,300,420,6.776,426.776,2
468,468,1998,"Nagano, Japan",5000m Short Track Relay Men,Ho-Eung Lee,KOR,SILVER,07:06.8,07:06.8,300,420,6.776,426.776,2
469,469,1998,"Nagano, Japan",5000m Short Track Relay Men,Jun-Hwan Lee,KOR,SILVER,07:06.8,07:06.8,300,420,6.776,426.776,2
475,475,1998,"Nagano, Japan",500m Short Track Women,Yang (S) Yang,CHN,SILVER,46.627,00:46.6,300,0,46.627,46.627,2
478,478,1998,"Nagano, Japan",1000m Short Track Women,Yang (S) Yang,CHN,SILVER,01:43.3,01:43.3,300,60,43.343,103.343,2
484,484,1998,"Nagano, Japan",3000m Short Track Relay Women,Dandan Sun,CHN,SILVER,04:16.4,04:16.4,300,240,16.383,256.383,2
485,485,1998,"Nagano, Japan",3000m Short Track Relay Women,Yang (S) Yang,CHN,SILVER,04:16.4,04:16.4,300,240,16.383,256.383,2
486,486,1998,"Nagano, Japan",3000m Short Track Relay Women,Yang (A) Yang,CHN,SILVER,04:16.4,04:16.4,300,240,16.383,256.383,2
487,487,1998,"Nagano, Japan",3000m Short Track Relay Women,Chunlu Wang,CHN,SILVER,04:16.4,04:16.4,300,240,16.383,256.383,2
493,493,2002,"Salt Lake City, United States",500m Men,Hiroyasu Shimizu,JPN,SILVER,69.26,01:09.3,1320,0,69.26,69.26,2
496,496,2002,"Salt Lake City, United States",1000m Men,Jan Bos,NED,SILVER,01:07.5,01:07.5,1320,60,7.53,67.53,2
499,499,2002,"Salt Lake City, United States",1500m Men,Jochem Uytdehaage,NED,SILVER,01:44.6,01:44.6,1320,60,44.57,104.57,2
502,502,2002,"Salt Lake City, United States",5000m Men,Derek Parra,USA,SILVER,06:18.0,06:18.0,1320,360,17.98,377.98,2
505,505,2002,"Salt Lake City, United States",10000m Men,Gianni Romme,NED,SILVER,13:10.0,13:10.0,1320,780,10.03,790.03,2
508,508,2002,"Salt Lake City, United States",500m Women,Monique Garbrecht,GER,SILVER,01:14.9,01:14.9,1320,60,14.94,74.94,2
511,511,2002,"Salt Lake City, United States",1000m Women,Sabine VÃ¶lker,GER,SILVER,01:14.0,01:14.0,1320,60,13.96,73.96,2
514,514,2002,"Salt Lake City, United States",1500m Women,Sabine VÃ¶lker,GER,SILVER,01:55.0,01:55.0,1320,60,54.97,114.97,2
517,517,2002,"Salt Lake City, United States",3000m Women,Renate Groenevold,NED,SILVER,03:58.9,03:58.9,1320,180,58.94,238.94,2
520,520,2002,"Salt Lake City, United States",5000m Women,Greta Smit,NED,SILVER,06:49.2,06:49.2,1320,360,49.22,409.22,2
523,523,2002,"Salt Lake City, United States",500m Short Track Men,Jonathan Guilmette,CAN,SILVER,41.994,00:42.0,1320,0,41.994,41.994,2
526,526,2002,"Salt Lake City, United States",1000m Short Track Men,Apolo Anton Ohno,USA,SILVER,01:30.2,01:30.2,1320,60,30.16,90.16,2
532,532,2002,"Salt Lake City, United States",5000m Short Track Relay Men,Nicola Franceschina,ITA,SILVER,06:56.3,06:56.3,1320,360,56.327,416.327,2
533,533,2002,"Salt Lake City, United States",5000m Short Track Relay Men,Maurizio Carnino,ITA,SILVER,06:56.3,06:56.3,1320,360,56.327,416.327,2
534,534,2002,"Salt Lake City, United States",5000m Short Track Relay Men,Fabio Carta,ITA,SILVER,06:56.3,06:56.3,1320,360,56.327,416.327,2
535,535,2002,"Salt Lake City, United States",5000m Short Track Relay Men,Nicola Rodigari,ITA,SILVER,06:56.3,06:56.3,1320,360,56.327,416.327,2
541,541,2002,"Salt Lake City, United States",1500m Short Track Men,Jiajun Li,CHN,SILVER,02:18.7,02:18.7,1320,120,18.731,138.731,2
544,544,2002,"Salt Lake City, United States",500m Short Track Women,Evgenia Radanova,BUL,SILVER,44.252,00:44.3,1320,0,44.252,44.252,2
547,547,2002,"Salt Lake City, United States",1000m Short Track Women,Gi-Hyun Ko,KOR,SILVER,01:36.4,01:36.4,1320,60,36.427,96.427,2
553,553,2002,"Salt Lake City, United States",3000m Short Track Relay Women,Yang (S) Yang,CHN,SILVER,04:13.2,04:13.2,1320,240,13.236,253.236,2
554,554,2002,"Salt Lake City, United States",3000m Short Track Relay Women,Chunlu Wang,CHN,SILVER,04:13.2,04:13.2,1320,240,13.236,253.236,2
555,555,2002,"Salt Lake City, United States",3000m Short Track Relay Women,Yang (A) Yang,CHN,SILVER,04:13.2,04:13.2,1320,240,13.236,253.236,2
556,556,2002,"Salt Lake City, United States",3000m Short Track Relay Women,Dandan Sun,CHN,SILVER,04:13.2,04:13.2,1320,240,13.236,253.236,2
562,562,2002,"Salt Lake City, United States",1500m Short Track Women,Eun-Kyung Choi,KOR,SILVER,02:31.6,02:31.6,1320,120,31.61,151.61,2
565,565,2006,"Turin, Italy",500m Men,Francois-Louis Tremblay,RUS,SILVER,70.41,01:10.4,239,0,70.41,70.41,2
568,568,2006,"Turin, Italy",1000m Men,Joey Cheek,USA,SILVER,01:09.2,01:09.2,239,60,9.2,69.2,2
571,571,2006,"Turin, Italy",1500m Men,Shani Davis,USA,SILVER,01:46.1,01:46.1,239,60,46.1,106.1,2
574,574,2006,"Turin, Italy",5000m Men,Sven Kramer,NED,SILVER,06:16.4,06:16.4,239,360,16.4,376.4,2
577,577,2006,"Turin, Italy",10000m Men,Chad Hedrick,USA,SILVER,13:05.4,13:05.4,239,780,5.4,785.4,2
583,583,2006,"Turin, Italy",Team Pursuit Men,Steven Elm,CAN,SILVER,03:47.3,03:47.3,239,180,47.3,227.3,2
584,584,2006,"Turin, Italy",Team Pursuit Men,Arne Dankers,CAN,SILVER,03:47.3,03:47.3,239,180,47.3,227.3,2
585,585,2006,"Turin, Italy",Team Pursuit Men,Jason Parker,CAN,SILVER,03:47.3,03:47.3,239,180,47.3,227.3,2
586,586,2006,"Turin, Italy",Team Pursuit Men,Denny Morrison,CAN,SILVER,03:47.3,03:47.3,239,180,47.3,227.3,2
587,587,2006,"Turin, Italy",Team Pursuit Men,Justin Warsylewicz,CAN,SILVER,03:47.3,03:47.3,239,180,47.3,227.3,2
594,594,2006,"Turin, Italy",500m Women,Wang Manli,CHN,SILVER,76.78,01:16.8,239,0,76.78,76.78,2
597,597,2006,"Turin, Italy",1000m Women,Cindy Klassen,CAN,SILVER,01:16.1,01:16.1,239,60,16.1,76.1,2
600,600,2006,"Turin, Italy",1500m Women,Kristina Groves,CAN,SILVER,01:56.7,01:56.7,239,60,56.7,116.7,2
603,603,2006,"Turin, Italy",3000m Women,Renate Groenevold,NED,SILVER,04:03.5,04:03.5,239,240,3.5,243.5,2
606,606,2006,"Turin, Italy",5000m Women,Claudia Pechstein,GER,SILVER,07:00.1,07:00.1,239,420,0.1,420.1,2
613,613,2006,"Turin, Italy",Team Pursuit Women,Shannon Rempel,CAN,SILVER,03:02.9,03:02.9,239,180,2.9,182.9,2
614,614,2006,"Turin, Italy",Team Pursuit Women,Kristina Groves,CAN,SILVER,03:02.9,03:02.9,239,180,2.9,182.9,2
615,615,2006,"Turin, Italy",Team Pursuit Women,Clara Hughes,CAN,SILVER,03:02.9,03:02.9,239,180,2.9,182.9,2
616,616,2006,"Turin, Italy",Team Pursuit Women,Christine Nesbitt,CAN,SILVER,03:02.9,03:02.9,239,180,2.9,182.9,2
617,617,2006,"Turin, Italy",Team Pursuit Women,Cindy Klassen,CAN,SILVER,03:02.9,03:02.9,239,180,2.9,182.9,2
624,624,2006,"Turin, Italy",500m Short Track Men,Francois-Louis Tremblay,CAN,SILVER,42.002,00:42.0,239,0,42.002,42.002,2
627,627,2006,"Turin, Italy",1000m Short Track Men,Lee Ho-Suk,KOR,SILVER,01:26.8,01:26.8,239,60,26.8,86.8,2
633,633,2006,"Turin, Italy",5000m Short Track Relay Men,Francois-Louis Tremblay,CAN,SILVER,06:43.7,06:43.7,239,360,43.7,403.7,2
634,634,2006,"Turin, Italy",5000m Short Track Relay Men,Mathieu Turcotte,CAN,SILVER,06:43.7,06:43.7,239,360,43.7,403.7,2
635,635,2006,"Turin, Italy",5000m Short Track Relay Men,Charles Hamelin,CAN,SILVER,06:43.7,06:43.7,239,360,43.7,403.7,2
636,636,2006,"Turin, Italy",5000m Short Track Relay Men,Ã‰ric BÃ©dard,CAN,SILVER,06:43.7,06:43.7,239,360,43.7,403.7,2
642,642,2006,"Turin, Italy",1500m Short Track Men,Lee Ho-Suk,KOR,SILVER,02:25.6,02:25.6,239,120,25.6,145.6,2
645,645,2006,"Turin, Italy",500m Short Track Women,Evgenia Radanova,BUL,SILVER,44.374,00:44.4,239,0,44.374,44.374,2
648,648,2006,"Turin, Italy",1000m Short Track Women,Wang Meng,CHN,SILVER,01:33.1,01:33.1,239,60,33.1,93.1,2
654,654,2006,"Turin, Italy",3000m Short Track Relay Women,Alanna Kraus,CAN,SILVER,04:17.3,04:17.3,239,240,17.3,257.3,2
655,655,2006,"Turin, Italy",3000m Short Track Relay Women,Anouk Leblanc-Boucher,CAN,SILVER,04:17.3,04:17.3,239,240,17.3,257.3,2
656,656,2006,"Turin, Italy",3000m Short Track Relay Women,Kalyna Roberge,CAN,SILVER,04:17.3,04:17.3,239,240,17.3,257.3,2
662,662,2006,"Turin, Italy",1500m Short Track Women,Eun-Kyung Choi,KOR,SILVER,02:24.1,02:24.1,239,120,24.1,144.1,2
665,665,2010,"Vancouver, Canada",500m Men,Keiichiro Nagashima,JPN,SILVER,69.98,01:10.0,21,0,69.98,69.98,2
668,668,2010,"Vancouver, Canada",1000m Men,Mo Tae-Bum,KOR,SILVER,01:09.1,01:09.1,21,60,9.12,69.12,2
671,671,2010,"Vancouver, Canada",1500m Men,Shani Davis,USA,SILVER,01:46.1,01:46.1,21,60,46.1,106.1,2
674,674,2010,"Vancouver, Canada",5000m Men,Lee Seung-Hoon,KOR,SILVER,06:16.9,06:16.9,21,360,16.95,376.95,2
677,677,2010,"Vancouver, Canada",10000m Men,Ivan Skobrev,RUS,SILVER,13:02.1,13:02.1,21,780,2.07,782.07,2
682,682,2010,"Vancouver, Canada",Team Pursuit Men,Brian Hansen,USA,SILVER,03:41.6,03:41.6,21,180,41.58,221.58,2
683,683,2010,"Vancouver, Canada",Team Pursuit Men,Chad Hedrick,USA,SILVER,03:41.6,03:41.6,21,180,41.58,221.58,2
684,684,2010,"Vancouver, Canada",Team Pursuit Men,Jonathan Kuck,USA,SILVER,03:41.6,03:41.6,21,180,41.58,221.58,2
685,685,2010,"Vancouver, Canada",Team Pursuit Men,Trevor Marsicano,USA,SILVER,03:41.6,03:41.6,21,180,41.58,221.58,2
691,691,2010,"Vancouver, Canada",500m Women,Jenny Wolf,GER,SILVER,76.14,01:16.1,21,0,76.14,76.14,2
694,694,2010,"Vancouver, Canada",1000m Women,Annette Gerritsen,NED,SILVER,01:16.6,01:16.6,21,60,16.58,76.58,2
697,697,2010,"Vancouver, Canada",1500m Women,Kristina Groves,CAN,SILVER,01:57.1,01:57.1,21,60,57.14,117.14,2
700,700,2010,"Vancouver, Canada",3000m Women,Stephanie Beckert,GER,SILVER,04:04.6,04:04.6,21,240,4.62,244.62,2
703,703,2010,"Vancouver, Canada",5000m Women,Stephanie Beckert,GER,SILVER,06:51.4,06:51.4,21,360,51.39,411.39,2
709,709,2010,"Vancouver, Canada",Team Pursuit Women,Masako Hozumi,JPN,SILVER,03:02.8,03:02.8,21,180,2.84,182.84,2
710,710,2010,"Vancouver, Canada",Team Pursuit Women,Nao Kodaira,JPN,SILVER,03:02.8,03:02.8,21,180,2.84,182.84,2
711,711,2010,"Vancouver, Canada",Team Pursuit Women,Maki Tabata,JPN,SILVER,03:02.8,03:02.8,21,180,2.84,182.84,2
716,716,2010,"Vancouver, Canada",500m Short Track Men,Sung Si-Bak,KOR,SILVER,41.34,00:41.3,21,0,41.34,41.34,2
719,719,2010,"Vancouver, Canada",1000m Short Track Men,Lee Ho-Suk,KOR,SILVER,01:23.8,01:23.8,21,60,23.801,83.801,2
722,722,2010,"Vancouver, Canada",1500m Short Track Men,Apolo Anton Ohno,USA,SILVER,02:18.0,02:18.0,21,120,17.976,137.976,2
728,728,2010,"Vancouver, Canada",5000m Short Track Relay Men,Kwak Yoon-Gy,KOR,SILVER,06:44.4,06:44.4,21,360,44.446,404.446,2
729,729,2010,"Vancouver, Canada",5000m Short Track Relay Men,Lee Ho-Suk,KOR,SILVER,06:44.4,06:44.4,21,360,44.446,404.446,2
730,730,2010,"Vancouver, Canada",5000m Short Track Relay Men,Lee Jung-Su,KOR,SILVER,06:44.4,06:44.4,21,360,44.446,404.446,2
731,731,2010,"Vancouver, Canada",5000m Short Track Relay Men,Sung Si-Bak,KOR,SILVER,06:44.4,06:44.4,21,360,44.446,404.446,2
737,737,2010,"Vancouver, Canada",500m Short Track Women,Marianne St-Gelais,CAN,SILVER,43.707,00:43.7,21,0,43.707,43.707,2
740,740,2010,"Vancouver, Canada",1000m Short Track Women,Katherine Reutter,USA,SILVER,01:29.3,01:29.3,21,60,29.324,89.324,2
743,743,2010,"Vancouver, Canada",1500m Short Track Women,Lee Eun-Byul,KOR,SILVER,02:17.8,02:17.8,21,120,17.849,137.849,2
749,749,2010,"Vancouver, Canada",3000m Short Track Relay Women,Jessica Gregg,CAN,SILVER,04:09.1,04:09.1,21,240,9.137,249.137,2
750,750,2010,"Vancouver, Canada",3000m Short Track Relay Women,Kalyna Roberge,CAN,SILVER,04:09.1,04:09.1,21,240,9.137,249.137,2
751,751,2010,"Vancouver, Canada",3000m Short Track Relay Women,Marianne St-Gelais,CAN,SILVER,04:09.1,04:09.1,21,240,9.137,249.137,2
752,752,2010,"Vancouver, Canada",3000m Short Track Relay Women,Tania Vicent,CAN,SILVER,04:09.1,04:09.1,21,240,9.137,249.137,2
1,1,1924,"Chamonix, France",500m Men,Charles Jewtraw,USA,GOLD,44,00:44.0,1035,0,44,44,3
5,5,1924,"Chamonix, France",1500m Men,Clas Thunberg,FIN,GOLD,02:20.0,02:20.0,1035,120,20,140,3
8,8,1924,"Chamonix, France",5000m Men,Clas Thunberg,FIN,GOLD,08:39.0,08:39.0,1035,480,39,519,3
11,11,1924,"Chamonix, France",10000m Men,Julius Skutnabb,FIN,GOLD,18:04.0,18:04.0,1035,1080,4,1084,3
14,14,1924,"Chamonix, France",Four-Race Combined,Clas Thunberg,FIN,GOLD,5.5,00:05.5,1035,0,5.5,5.5,3
17,17,1928,"St. Moritz, Switzerland",500m Men,BÃ_la Evensen,NOR,GOLD,43.4,00:43.4,1822,0,43.4,43.4,3
18,18,1928,"St. Moritz, Switzerland",500m Men,Clas Thunberg,FIN,GOLD,43.4,00:43.4,1822,0,43.4,43.4,3
22,22,1928,"St. Moritz, Switzerland",1500m Men,Clas Thunberg,FIN,GOLD,02:21.0,02:21.0,1822,120,21,141,3
25,25,1928,"St. Moritz, Switzerland",5000m Men,Ivar Ballangrud,NOR,GOLD,08:50.0,08:50.0,1822,480,50,530,3
28,28,1932,"Lake Placid, United States",500m Men,Jack Shea,USA,GOLD,43.4,00:43.4,568,0,43.4,43.4,3
31,31,1932,"Lake Placid, United States",1500m Men,Jack Shea,USA,GOLD,02:57.0,02:57.0,568,120,57,177,3
34,34,1932,"Lake Placid, United States",5000m Men,Irving Jaffee,USA,GOLD,09:40.0,09:40.0,568,540,40,580,3
37,37,1932,"Lake Placid, United States",10000m Men,Irving Jaffee,USA,GOLD,19:13.0,19:13.0,568,1140,13,1153,3
40,40,1936,"Garmisch-Partenkirchen, Germany",500m Men,Ivar Ballangrud,NOR,GOLD,43.4,00:43.4,708,0,43.4,43.4,3
43,43,1936,"Garmisch-Partenkirchen, Germany",1500m Men,Charles Mathiesen,NOR,GOLD,02:19.0,02:19.0,708,120,19,139,3
46,46,1936,"Garmisch-Partenkirchen, Germany",5000m Men,Ivar Ballangrud,NOR,GOLD,08:19.0,08:19.0,708,480,19,499,3
49,49,1936,"Garmisch-Partenkirchen, Germany",10000m Men,Ivar Ballangrud,NOR,GOLD,17:24.0,17:24.0,708,1020,24,1044,3
52,52,1948,"St. Moritz, Switzerland",500m Men,Finn Helgesen,NOR,GOLD,43.1,00:43.1,1822,0,43.1,43.1,3
56,56,1948,"St. Moritz, Switzerland",1500m Men,Sverre Farstad,NOR,GOLD,02:17.0,02:17.0,1822,120,17,137,3
59,59,1948,"St. Moritz, Switzerland",5000m Men,Reidar Liaklev,NOR,GOLD,08:29.0,08:29.0,1822,480,29,509,3
62,62,1948,"St. Moritz, Switzerland",10000m Men,Ã…ke Seyffarth,SWE,GOLD,17:26.0,17:26.0,1822,1020,26,1046,3
65,65,1952,"Oslo, Norway",500m Men,Ken Henry,USA,GOLD,43.2,00:43.2,204,0,43.2,43.2,3
69,69,1952,"Oslo, Norway",1500m Men,Hjallis Andersen,NOR,GOLD,02:20.0,02:20.0,204,120,20,140,3
72,72,1952,"Oslo, Norway",5000m Men,Hjallis Andersen,NOR,GOLD,08:10.0,08:10.0,204,480,10,490,3
75,75,1952,"Oslo, Norway",10000m Men,Hjallis Andersen,NOR,GOLD,16:45.0,16:45.0,204,960,45,1005,3
78,78,1956,"Cortina d'Ampezzo, Italy",500m Men,Yevgeny Grishin,URS,GOLD,40.2,00:40.2,1210,0,40.2,40.2,3
81,81,1956,"Cortina d'Ampezzo, Italy",1500m Men,Yevgeny Grishin,URS,GOLD,02:08.0,02:08.0,1210,120,8,128,3
82,82,1956,"Cortina d'Ampezzo, Italy",1500m Men,Yury Mikhaylov,URS,GOLD,02:08.0,02:08.0,1210,120,8,128,3
84,84,1956,"Cortina d'Ampezzo, Italy",5000m Men,Boris Shilkov,URS,GOLD,07:48.0,07:48.0,1210,420,48,468,3
87,87,1956,"Cortina d'Ampezzo, Italy",10000m Men,Sigge Ericsson,SWE,GOLD,16:35.0,16:35.0,1210,960,35,995,3
90,90,1960,"Squaw Valley, United States",500m Men,Yevgeny Grishin,URS,GOLD,40.2,00:40.2,1880,0,40.2,40.2,3
93,93,1960,"Squaw Valley, United States",1500m Men,Yevgeny Grishin,URS,GOLD,02:10.0,02:10.0,1880,120,10,130,3
94,94,1960,"Squaw Valley, United States",1500m Men,Roald Aas,NOR,GOLD,02:10.0,02:10.0,1880,120,10,130,3
96,96,1960,"Squaw Valley, United States",5000m Men,Viktor Kosichkin,URS,GOLD,07:51.0,07:51.0,1880,420,51,471,3
99,99,1960,"Squaw Valley, United States",10000m Men,Knut Johannesen,NOR,GOLD,15:46.0,15:46.0,1880,900,46,946,3
102,102,1960,"Squaw Valley, United States",500m Women,Helga Haase,GER,GOLD,45.9,00:45.9,1880,0,45.9,45.9,3
105,105,1960,"Squaw Valley, United States",1000m Women,Klara Guseva,URS,GOLD,01:34.0,01:34.0,1880,60,34,94,3
108,108,1960,"Squaw Valley, United States",1500m Women,Lidiya Skoblikova,URS,GOLD,02:25.0,02:25.0,1880,120,25,145,3
111,111,1960,"Squaw Valley, United States",3000m Women,Lidiya Skoblikova,URS,GOLD,05:14.0,05:14.0,1880,300,14,314,3
114,114,1964,"Innsbruck, Austria",500m Men,Terry McDermott,USA,GOLD,40.1,00:40.1,574,0,40.1,40.1,3
118,118,1964,"Innsbruck, Austria",1500m Men,Ants Antson,URS,GOLD,02:10.0,02:10.0,574,120,10,130,3
121,121,1964,"Innsbruck, Austria",5000m Men,Knut Johannesen,NOR,GOLD,07:38.0,07:38.0,574,420,38,458,3
124,124,1964,"Innsbruck, Austria",10000m Men,Jonny Nilsson,SWE,GOLD,15:50.0,15:50.0,574,900,50,950,3
127,127,1964,"Innsbruck, Austria",500m Women,Lidiya Skoblikova,URS,GOLD,45,00:45.0,574,0,45,45,3
130,130,1964,"Innsbruck, Austria",1000m Women,Lidiya Skoblikova,URS,GOLD,01:33.0,01:33.0,574,60,33,93,3
133,133,1964,"Innsbruck, Austria",1500m Women,Lidiya Skoblikova,URS,GOLD,02:22.0,02:22.0,574,120,22,142,3
136,136,1964,"Innsbruck, Austria",3000m Women,Lidiya Skoblikova,URS,GOLD,05:14.0,05:14.0,574,300,14,314,3
139,139,1968,"Grenoble, France",500m Men,Erhard Keller,FRG,GOLD,40.3,00:40.3,213,0,40.3,40.3,3
142,142,1968,"Grenoble, France",1500m Men,Kees Verkerk,NED,GOLD,02:03.0,02:03.0,213,120,3,123,3
145,145,1968,"Grenoble, France",5000m Men,Fred Anton Maier,NOR,GOLD,07:22.0,07:22.0,213,420,22,442,3
148,148,1968,"Grenoble, France",10000m Men,Johnny HÃ¶glin,SWE,GOLD,15:23.0,15:23.0,213,900,23,923,3
151,151,1968,"Grenoble, France",500m Women,Lyudmila Titova,URS,GOLD,46.1,00:46.1,213,0,46.1,46.1,3
155,155,1968,"Grenoble, France",1000m Women,Carry Geijssen,NED,GOLD,01:32.0,01:32.0,213,60,32,92,3
158,158,1968,"Grenoble, France",1500m Women,Kaija Mustonen,FIN,GOLD,02:22.0,02:22.0,213,120,22,142,3
161,161,1968,"Grenoble, France",3000m Women,Ans Schut,NED,GOLD,04:56.0,04:56.0,213,240,56,296,3
164,164,1972,"Sapporo, Japan",500m Men,Erhard Keller,FRG,GOLD,39.44,00:39.4,23,0,39.44,39.44,3
167,167,1972,"Sapporo, Japan",1500m Men,Ard Schenk,NED,GOLD,02:03.0,02:03.0,23,120,2.96,122.96,3
170,170,1972,"Sapporo, Japan",5000m Men,Ard Schenk,NED,GOLD,07:23.6,07:23.6,23,420,23.61,443.61,3
173,173,1972,"Sapporo, Japan",10000m Men,Ard Schenk,NED,GOLD,15:01.4,15:01.4,23,900,1.35,901.35,3
176,176,1972,"Sapporo, Japan",500m Women,Anne Henning,USA,GOLD,43.33,00:43.3,23,0,43.33,43.33,3
179,179,1972,"Sapporo, Japan",1000m Women,Monika Pflug,FRG,GOLD,01:31.4,01:31.4,23,60,31.4,91.4,3
182,182,1972,"Sapporo, Japan",1500m Women,Dianne Holum,USA,GOLD,02:20.9,02:20.9,23,120,20.85,140.85,3
185,185,1972,"Sapporo, Japan",3000m Women,Stien Baas-Kaiser,NED,GOLD,04:52.1,04:52.1,23,240,52.14,292.14,3
188,188,1976,"Innsbruck, Austria",500m Men,Yevgeny Kulikov,URS,GOLD,39.17,00:39.2,574,0,39.17,39.17,3
191,191,1976,"Innsbruck, Austria",1000m Men,Peter Mueller,USA,GOLD,01:19.3,01:19.3,574,60,19.32,79.32,3
194,194,1976,"Innsbruck, Austria",1500m Men,Jan Egil Storholt,NOR,GOLD,01:59.4,01:59.4,574,60,59.38,119.38,3
197,197,1976,"Innsbruck, Austria",5000m Men,Sten Stensen,NOR,GOLD,07:24.5,07:24.5,574,420,24.48,444.48,3
200,200,1976,"Innsbruck, Austria",10000m Men,Piet Kleine,NED,GOLD,14:50.6,14:50.6,574,840,50.59,890.59,3
203,203,1976,"Innsbruck, Austria",500m Women,Sheila Young,USA,GOLD,42.76,00:42.8,574,0,42.76,42.76,3
206,206,1976,"Innsbruck, Austria",1000m Women,Tatyana Averina,URS,GOLD,01:28.4,01:28.4,574,60,28.43,88.43,3
209,209,1976,"Innsbruck, Austria",1500m Women,Galina Stepanskaya,URS,GOLD,02:16.6,02:16.6,574,120,16.58,136.58,3
212,212,1976,"Innsbruck, Austria",3000m Women,Tatyana Averina,URS,GOLD,04:45.2,04:45.2,574,240,45.19,285.19,3
215,215,1980,"Lake Placid, United States",500m Men,Eric Heiden,USA,GOLD,38.03,00:38.0,568,0,38.03,38.03,3
218,218,1980,"Lake Placid, United States",1000m Men,Eric Heiden,USA,GOLD,01:15.2,01:15.2,568,60,15.18,75.18,3
222,222,1980,"Lake Placid, United States",1500m Men,Eric Heiden,USA,GOLD,01:55.4,01:55.4,568,60,55.44,115.44,3
225,225,1980,"Lake Placid, United States",5000m Men,Eric Heiden,USA,GOLD,07:02.3,07:02.3,568,420,2.29,422.29,3
228,228,1980,"Lake Placid, United States",10000m Men,Eric Heiden,USA,GOLD,14:28.1,14:28.1,568,840,28.13,868.13,3
231,231,1980,"Lake Placid, United States",500m Women,Karin Enke,GDR,GOLD,41.78,00:41.8,568,0,41.78,41.78,3
234,234,1980,"Lake Placid, United States",1000m Women,Natalya Petruseva,URS,GOLD,01:24.1,01:24.1,568,60,24.1,84.1,3
237,237,1980,"Lake Placid, United States",1500m Women,Annie Borckink,NED,GOLD,02:11.0,02:11.0,568,120,10.95,130.95,3
240,240,1980,"Lake Placid, United States",3000m Women,BjÃ¸rg Eva Jensen,NOR,GOLD,04:32.1,04:32.1,568,240,32.13,272.13,3
243,243,1984,"Sarajevo, Yugoslavia",500m Men,Sergey Fokichev,URS,GOLD,38.19,00:38.2,500,0,38.19,38.19,3
246,246,1984,"Sarajevo, Yugoslavia",1000m Men,GaÃ©tan Boucher,CAN,GOLD,01:15.8,01:15.8,500,60,15.8,75.8,3
249,249,1984,"Sarajevo, Yugoslavia",1500m Men,GaÃ©tan Boucher,CAN,GOLD,01:58.4,01:58.4,500,60,58.36,118.36,3
252,252,1984,"Sarajevo, Yugoslavia",5000m Men,Tomas Gustafsson,SWE,GOLD,07:12.3,07:12.3,500,420,12.28,432.28,3
255,255,1984,"Sarajevo, Yugoslavia",10000m Men,Igor Malkov,URS,GOLD,14:39.9,14:39.9,500,840,39.9,879.9,3
258,258,1984,"Sarajevo, Yugoslavia",500m Women,Christa Rothenburger,GDR,GOLD,41.02,00:41.0,500,0,41.02,41.02,3
261,261,1984,"Sarajevo, Yugoslavia",1000m Women,Karin Enke,GDR,GOLD,01:21.6,01:21.6,500,60,21.61,81.61,3
264,264,1984,"Sarajevo, Yugoslavia",1500m Women,Karin Enke,GDR,GOLD,02:03.4,02:03.4,500,120,3.42,123.42,3
267,267,1984,"Sarajevo, Yugoslavia",3000m Women,Andrea SchÃ¶ne,GDR,GOLD,04:24.8,04:24.8,500,240,24.79,264.79,3
270,270,1988,"Calgary, Canada",500m Men,Uwe-Jens Mey,GDR,GOLD,36.45,00:36.5,1048,0,36.45,36.45,3
273,273,1988,"Calgary, Canada",1000m Men,Nikolay Gulyaev,URS,GOLD,01:13.0,01:13.0,1048,60,13.03,73.03,3
276,276,1988,"Calgary, Canada",1500m Men,AndrÃ© Hoffmann,GDR,GOLD,01:52.1,01:52.1,1048,60,52.06,112.06,3
279,279,1988,"Calgary, Canada",5000m Men,Tomas Gustafsson,SWE,GOLD,06:44.6,06:44.6,1048,360,44.63,404.63,3
282,282,1988,"Calgary, Canada",10000m Men,Tomas Gustafsson,SWE,GOLD,13:48.2,13:48.2,1048,780,48.2,828.2,3
285,285,1988,"Calgary, Canada",500m Women,Bonnie Blair,USA,GOLD,39.1,00:39.1,1048,0,39.1,39.1,3
